"","player_position","depth","field_x","field_y","ev","babip"
"1",3,112.038510986905,50,100.262794416288,75,0.224858064850376
"2",4,151.972324668404,17.3646866279702,150.977001968615,75,0.224858064850376
"3",5,146.213657500882,-70.9847626095481,127.826433561495,75,0.224858064850376
"4",6,155.969460188964,-42.5287615398655,150.059244811915,75,0.224858064850376
"5",7,271.981740371031,-96.4378762898036,254.310446328827,75,0.224858064850376
"6",8,271.501760382362,12.4615845456083,271.215624183663,75,0.224858064850376
"7",9,215.979402387877,76.4211940235559,202.007186406421,75,0.224858064850376
"8",3,114.357456880445,55,100.262794416288,77,0.22859529240959
"9",4,151.972324668404,17.3646866279702,150.977001968615,77,0.22859529240959
"10",5,146.213657500882,-70.9847626095481,127.826433561495,77,0.22859529240959
"11",6,155.969460188964,-42.5287615398655,150.059244811915,77,0.22859529240959
"12",7,276.662559011051,-96.4378762898036,259.310446328827,77,0.22859529240959
"13",8,281.314597077611,7.46158454560835,281.215624183663,77,0.22859529240959
"14",9,220.663032970837,76.4211940235559,207.007186406421,77,0.22859529240959
"15",3,112.038510986905,50,100.262794416288,79,0.240187246632532
"16",4,156.940617702381,17.3646866279702,155.977001968615,79,0.240187246632532
"17",5,146.213657500882,-70.9847626095481,127.826433561495,79,0.240187246632532
"18",6,155.969460188964,-42.5287615398655,150.059244811915,79,0.240187246632532
"19",7,287.780748570883,-101.437876289804,269.310446328827,79,0.240187246632532
"20",8,291.48212785361,12.4615845456083,291.215624183663,79,0.240187246632532
"21",9,231.77905381689,81.4211940235559,217.007186406421,79,0.240187246632532
"22",3,114.357456880445,55,100.262794416288,81,0.253084506056038
"23",4,151.972324668404,17.3646866279702,150.977001968615,81,0.253084506056038
"24",5,146.213657500882,-70.9847626095481,127.826433561495,81,0.253084506056038
"25",6,155.969460188964,-42.5287615398655,150.059244811915,81,0.253084506056038
"26",7,292.4651495671,-101.437876289804,274.310446328827,81,0.253084506056038
"27",8,296.477633388937,12.4615845456083,296.215624183663,81,0.253084506056038
"28",9,242.900978706585,86.4211940235559,227.007186406421,81,0.253084506056038
"29",3,114.357456880445,55,100.262794416288,83,0.267581337841566
"30",4,156.940617702381,17.3646866279702,155.977001968615,83,0.267581337841566
"31",5,146.213657500882,-70.9847626095481,127.826433561495,83,0.267581337841566
"32",6,155.969460188964,-42.5287615398655,150.059244811915,83,0.267581337841566
"33",7,298.903574648234,-106.437876289804,279.310446328827,83,0.267581337841566
"34",8,306.306519255013,7.46158454560835,306.215624183663,83,0.267581337841566
"35",9,252.271736793373,86.4211940235559,237.007186406421,83,0.267581337841566
"36",3,114.357456880445,55,100.262794416288,85,0.283296934171771
"37",4,166.140313565425,7.36468662797019,165.977001968615,85,0.283296934171771
"38",5,146.213657500882,-70.9847626095481,127.826433561495,85,0.283296934171771
"39",6,155.969460188964,-42.5287615398655,150.059244811915,85,0.283296934171771
"40",7,310.030538216749,-111.437876289804,289.310446328827,85,0.283296934171771
"41",8,316.461075121809,12.4615845456083,316.215624183663,85,0.283296934171771
"42",9,258.699271334584,91.4211940235559,242.007186406421,85,0.283296934171771
"43",3,114.357456880445,55,100.262794416288,87,0.293237082320305
"44",4,166.140313565425,7.36468662797019,165.977001968615,87,0.293237082320305
"45",5,146.213657500882,-70.9847626095481,127.826433561495,87,0.293237082320305
"46",6,155.969460188964,-42.5287615398655,150.059244811915,87,0.293237082320305
"47",7,319.382440897341,-111.437876289804,299.310446328827,87,0.293237082320305
"48",8,326.453556499121,12.4615845456083,326.215624183663,87,0.293237082320305
"49",9,269.823402723724,96.4211940235559,252.007186406421,87,0.293237082320305
"50",3,114.357456880445,55,100.262794416288,89,0.30787498294693
"51",4,166.140313565425,7.36468662797019,165.977001968615,89,0.30787498294693
"52",5,146.213657500882,-70.9847626095481,127.826433561495,89,0.30787498294693
"53",6,160.785773499262,-42.5287615398655,155.059244811915,89,0.30787498294693
"54",7,330.500728052175,-116.437876289804,309.310446328827,89,0.30787498294693
"55",8,331.449967254126,12.4615845456083,331.215624183663,89,0.30787498294693
