"","game_str","play_id","throw_time","Time_0","Time_1","throw_dist","Speed_init","pos_throw"
"1","1900_01_TeamKJ_TeamB",42,990,1364419,1365409,100.527273858586,107.918358834709,6
"2","1900_01_TeamKJ_TeamB",50,1089,1714042,1715131,101.23842332248,98.8325868993649,6
"3","1900_01_TeamKJ_TeamB",55,726,1825467,1826193,68.6885654521645,94.9524069811215,4
"4","1900_01_TeamKJ_TeamB",57,825,1878308,1879133,66.6744310827604,86.2594547336562,4
"5","1900_01_TeamKJ_TeamB",66,1023,2321633,2322656,104.622047616299,105.019753787748,5
"6","1900_01_TeamKJ_TeamB",80,1188,2823080,2824268,110.06838829418,96.6417920315928,6
"7","1900_01_TeamKJ_TeamB",86,1023,2942360,2943383,111.662206172069,113.13847214688,5
"8","1900_01_TeamKJ_TeamB",97,1221,3266536,3267757,130.342725973585,112.893891007983,5
"9","1900_01_TeamKJ_TeamB",124,726,4134241,4134967,60.6219984411202,82.736341704374,4
"10","1900_01_TeamKJ_TeamB",183,1089,6093490,6094579,113.883477913868,115.052357501389,5
"11","1900_01_TeamKJ_TeamB",239,1122,7891642,7892764,132.597069794686,124.880195322449,6
"12","1900_01_TeamKJ_TeamB",242,1188,8174133,8175321,118.044083901514,107.128482694373,6
"13","1900_01_TeamKJ_TeamB",251,1155,8416027,8417182,109.915699317948,105.866810864473,5
"14","1900_01_TeamKJ_TeamB",253,924,8577983,8578907,103.038769889762,112.209814231775,5
"15","1900_02_TeamKJ_TeamB",71,1023,2312350,2313373,89.1532513358105,91.9130072097002,5
"16","1900_02_TeamKJ_TeamB",276,1090,10541943,10543033,99.8969312719481,92.0793920730865,4
"17","1900_03_TeamKJ_TeamB",40,1221,1406295,1407516,117.354784192504,99.6214556510785,5
"18","1900_03_TeamKJ_TeamB",111,1023,4618418,4619441,99.811884096889,97.8576019661574,6
"19","1900_03_TeamKJ_TeamB",138,792,5666331,5667123,77.2824011046429,97.6690388982718,5
"20","1900_03_TeamKJ_TeamB",142,1287,5951396,5952683,109.568830110291,91.2487664481996,5
"21","1900_03_TeamKJ_TeamB",145,1155,6067574,6068729,114.01293524459,102.417716307011,5
"22","1900_03_TeamKJ_TeamB",147,924,6261017,6261941,66.8738882516937,69.336759914943,4
"23","1900_03_TeamKJ_TeamB",165,924,6824150,6825074,93.7027747874157,99.5425624174846,6
"24","1900_04_TeamKK_TeamB",15,726,431783,432509,69.6556921104088,95.5550284282035,4
"25","1900_04_TeamKK_TeamB",68,825,2171120,2171945,84.6694650824906,102.475570163714,6
"26","1900_04_TeamKK_TeamB",70,957,2243401,2244358,111.53526057886,121.690252664201,5
"27","1900_04_TeamKK_TeamB",128,1155,4459992,4461147,121.618483854019,111.876713237084,6
"28","1900_04_TeamKK_TeamB",195,1089,6771109,6772198,96.2085698484474,93.0413615434823,6
"29","1900_04_TeamKK_TeamB",206,924,7120600,7121524,100.290141293945,115.231005056734,5
"30","1900_04_TeamKK_TeamB",220,924,7655019,7655943,97.8923351584997,110.713846956629,6
"31","1900_04_TeamKK_TeamB",221,924,7689641,7690565,88.904285360497,99.93348698091,4
"32","1900_05_TeamKK_TeamB",61,1386,2467091,2468477,115.324751523823,86.1925460664633,4
"33","1900_05_TeamKK_TeamB",117,759,4392082,4392841,69.5762503599312,89.1996269956798,4
"34","1900_05_TeamKK_TeamB",160,792,6055968,6056760,67.3420891302751,84.0639518894577,4
"35","1900_05_TeamKK_TeamB",210,826,8064758,8065584,85.5512613230375,101.744265975206,5
