"","player_position","depth","field_x","field_y","3b_range","babip"
"1",3,119.489028551423,65,100.262794416288,-2,0.337783297960488
"2",4,152.000170318428,42.3646866279702,145.977001968615,-2,0.337783297960488
"3",5,128.253441984024,-60.9847626095481,112.826433561495,-2,0.337783297960488
"4",6,151.079563259376,-17.5287615398655,150.059244811915,-2,0.337783297960488
"5",7,274.959620300227,-91.4378762898036,259.310446328827,-2,0.337783297960488
"6",8,331.299660348913,7.46158454560835,331.215624183663,-2,0.337783297960488
"7",9,311.634772461348,121.421194023556,287.007186406421,-2,0.337783297960488
"8",3,119.489028551423,65,100.262794416288,-1.5,0.33179257891629
"9",4,152.000170318428,42.3646866279702,145.977001968615,-1.5,0.33179257891629
"10",5,134.98380060542,-55.9847626095481,122.826433561495,-1.5,0.33179257891629
"11",6,151.079563259376,-17.5287615398655,150.059244811915,-1.5,0.33179257891629
"12",7,274.959620300227,-91.4378762898036,259.310446328827,-1.5,0.33179257891629
"13",8,331.299660348913,7.46158454560835,331.215624183663,-1.5,0.33179257891629
"14",9,311.634772461348,121.421194023556,287.007186406421,-1.5,0.33179257891629
"15",3,119.489028551423,65,100.262794416288,-1,0.325768443609144
"16",4,152.000170318428,42.3646866279702,145.977001968615,-1,0.325768443609144
"17",5,146.157458664309,-60.9847626095481,132.826433561495,-1,0.325768443609144
"18",6,156.046873992281,-17.5287615398655,155.059244811915,-1,0.325768443609144
"19",7,274.959620300227,-91.4378762898036,259.310446328827,-1,0.325768443609144
"20",8,331.299660348913,7.46158454560835,331.215624183663,-1,0.325768443609144
"21",9,311.634772461348,121.421194023556,287.007186406421,-1,0.325768443609144
"22",3,119.489028551423,65,100.262794416288,-0.5,0.31723170908792
"23",4,152.000170318428,42.3646866279702,145.977001968615,-0.5,0.31723170908792
"24",5,146.157458664309,-60.9847626095481,132.826433561495,-0.5,0.31723170908792
"25",6,156.046873992281,-17.5287615398655,155.059244811915,-0.5,0.31723170908792
"26",7,274.959620300227,-91.4378762898036,259.310446328827,-0.5,0.31723170908792
"27",8,331.299660348913,7.46158454560835,331.215624183663,-0.5,0.31723170908792
"28",9,311.634772461348,121.421194023556,287.007186406421,-0.5,0.31723170908792
"29",3,125.210334813716,75,100.262794416288,0,0.289194818604306
"30",4,150.388082937793,52.3646866279702,140.977001968615,0,0.289194818604306
"31",5,148.590514132152,-40.9847626095481,142.826433561495,0,0.289194818604306
"32",6,180.214181035692,7.47123846013449,180.059244811915,0,0.289194818604306
"33",7,274.959620300227,-91.4378762898036,259.310446328827,0,0.289194818604306
"34",8,331.299660348913,7.46158454560835,331.215624183663,0,0.289194818604306
"35",9,311.634772461348,121.421194023556,287.007186406421,0,0.289194818604306
"36",3,125.210334813716,75,100.262794416288,0.5,0.273043199701644
"37",4,149.596454512056,62.3646866279702,135.977001968615,0.5,0.273043199701644
"38",5,153.402754948117,-40.9847626095481,147.826433561495,0.5,0.273043199701644
"39",6,181.456022771826,22.4712384601345,180.059244811915,0.5,0.273043199701644
"40",7,274.959620300227,-91.4378762898036,259.310446328827,0.5,0.273043199701644
"41",8,331.299660348913,7.46158454560835,331.215624183663,0.5,0.273043199701644
"42",9,311.634772461348,121.421194023556,287.007186406421,0.5,0.273043199701644
"43",3,125.210334813716,75,100.262794416288,1,0.262168561806951
"44",4,149.596454512056,62.3646866279702,135.977001968615,1,0.262168561806951
"45",5,153.402754948117,-40.9847626095481,147.826433561495,1,0.262168561806951
"46",6,152.553092056686,27.4712384601345,150.059244811915,1,0.262168561806951
"47",7,274.959620300227,-91.4378762898036,259.310446328827,1,0.262168561806951
"48",8,331.299660348913,7.46158454560835,331.215624183663,1,0.262168561806951
"49",9,311.634772461348,121.421194023556,287.007186406421,1,0.262168561806951
"50",3,125.210334813716,75,100.262794416288,1.5,0.251953484536321
"51",4,149.596454512056,62.3646866279702,135.977001968615,1.5,0.251953484536321
"52",5,153.402754948117,-40.9847626095481,147.826433561495,1.5,0.251953484536321
"53",6,152.553092056686,27.4712384601345,150.059244811915,1.5,0.251953484536321
"54",7,274.959620300227,-91.4378762898036,259.310446328827,1.5,0.251953484536321
"55",8,331.299660348913,7.46158454560835,331.215624183663,1.5,0.251953484536321
"56",9,311.634772461348,121.421194023556,287.007186406421,1.5,0.251953484536321
"57",3,122.280938596998,70,100.262794416288,2,0.240216970480029
"58",4,160.770911884674,67.3646866279702,145.977001968615,2,0.240216970480029
"59",5,169.195289114716,-45.9847626095481,162.826433561495,2,0.240216970480029
"60",6,152.553092056686,27.4712384601345,150.059244811915,2,0.240216970480029
"61",7,279.67999080902,-91.4378762898036,264.310446328827,2,0.240216970480029
"62",8,331.299660348913,7.46158454560835,331.215624183663,2,0.240216970480029
"63",9,311.634772461348,121.421194023556,287.007186406421,2,0.240216970480029
