"","player_position","depth","field_x","field_y","SS_range","babip"
"1",3,112.038510986905,50,100.262794416288,-2,0.338796794150042
"2",4,152.003484832292,-17.6353133720298,150.977001968615,-2,0.338796794150042
"3",5,146.213657500882,-70.9847626095481,127.826433561495,-2,0.338796794150042
"4",6,232.189067089245,-87.5287615398655,215.059244811915,-2,0.338796794150042
"5",7,335.184778452582,-116.437876289804,314.310446328827,-2,0.338796794150042
"6",8,326.453556499121,12.4615845456083,326.215624183663,-2,0.338796794150042
"7",9,263.382582668462,91.4211940235559,247.007186406421,-2,0.338796794150042
"8",3,112.038510986905,50,100.262794416288,-1.5,0.338862025098304
"9",4,151.169947852476,-7.63531337202981,150.977001968615,-1.5,0.338862025098304
"10",5,148.313351891543,-65.9847626095481,132.826433561495,-1.5,0.338862025098304
"11",6,151.165075541667,-42.5287615398655,145.059244811915,-1.5,0.338862025098304
"12",7,319.382440897341,-111.437876289804,299.310446328827,-1.5,0.338862025098304
"13",8,321.302275845708,7.46158454560835,321.215624183663,-1.5,0.338862025098304
"14",9,265.159568549477,96.4211940235559,247.007186406421,-1.5,0.338862025098304
"15",3,114.357456880445,55,100.262794416288,-1,0.3264623199072
"16",4,156.150772499676,7.36468662797019,155.977001968615,-1,0.3264623199072
"17",5,146.213657500882,-70.9847626095481,127.826433561495,-1,0.3264623199072
"18",6,149.835217649654,-37.5287615398655,145.059244811915,-1,0.3264623199072
"19",7,319.382440897341,-111.437876289804,299.310446328827,-1,0.3264623199072
"20",8,321.302275845708,7.46158454560835,321.215624183663,-1,0.3264623199072
"21",9,265.159568549477,96.4211940235559,247.007186406421,-1,0.3264623199072
"22",3,114.357456880445,55,100.262794416288,-0.5,0.308923322238666
"23",4,156.150772499676,7.36468662797019,155.977001968615,-0.5,0.308923322238666
"24",5,146.213657500882,-70.9847626095481,127.826433561495,-0.5,0.308923322238666
"25",6,155.969460188964,-42.5287615398655,150.059244811915,-0.5,0.308923322238666
"26",7,319.382440897341,-111.437876289804,299.310446328827,-0.5,0.308923322238666
"27",8,321.302275845708,7.46158454560835,321.215624183663,-0.5,0.308923322238666
"28",9,265.159568549477,96.4211940235559,247.007186406421,-0.5,0.308923322238666
"29",3,114.357456880445,55,100.262794416288,0,0.293237082320305
"30",4,166.140313565425,7.36468662797019,165.977001968615,0,0.293237082320305
"31",5,146.213657500882,-70.9847626095481,127.826433561495,0,0.293237082320305
"32",6,155.969460188964,-42.5287615398655,150.059244811915,0,0.293237082320305
"33",7,319.382440897341,-111.437876289804,299.310446328827,0,0.293237082320305
"34",8,326.453556499121,12.4615845456083,326.215624183663,0,0.293237082320305
"35",9,269.823402723724,96.4211940235559,252.007186406421,0,0.293237082320305
"36",3,114.357456880445,55,100.262794416288,0.5,0.275587448040006
"37",4,156.940617702381,17.3646866279702,155.977001968615,0.5,0.275587448040006
"38",5,146.213657500882,-70.9847626095481,127.826433561495,0.5,0.275587448040006
"39",6,160.785773499262,-42.5287615398655,155.059244811915,0.5,0.275587448040006
"40",7,319.382440897341,-111.437876289804,299.310446328827,0.5,0.275587448040006
"41",8,321.302275845708,7.46158454560835,321.215624183663,0.5,0.275587448040006
"42",9,265.159568549477,96.4211940235559,247.007186406421,0.5,0.275587448040006
"43",3,116.844460477007,60,100.262794416288,1,0.263669223291106
"44",4,169.103039957939,32.3646866279702,165.977001968615,1,0.263669223291106
"45",5,147.121937712773,-80.9847626095481,122.826433561495,1,0.263669223291106
"46",6,155.969460188964,-42.5287615398655,150.059244811915,1,0.263669223291106
"47",7,319.382440897341,-111.437876289804,299.310446328827,1,0.263669223291106
"48",8,321.302275845708,7.46158454560835,321.215624183663,1,0.263669223291106
"49",9,274.499071986543,96.4211940235559,257.007186406421,1,0.263669223291106
"50",3,114.357456880445,55,100.262794416288,1.5,0.25062437601848
"51",4,166.140313565425,7.36468662797019,165.977001968615,1.5,0.25062437601848
"52",5,147.121937712773,-80.9847626095481,122.826433561495,1.5,0.25062437601848
"53",6,154.277202769285,-52.5287615398655,145.059244811915,1.5,0.25062437601848
"54",7,319.382440897341,-111.437876289804,299.310446328827,1.5,0.25062437601848
"55",8,326.453556499121,12.4615845456083,326.215624183663,1.5,0.25062437601848
"56",9,269.823402723724,96.4211940235559,252.007186406421,1.5,0.25062437601848
"57",3,114.357456880445,55,100.262794416288,2,0.236129710047343
"58",4,166.140313565425,7.36468662797019,165.977001968615,2,0.236129710047343
"59",5,147.121937712773,-80.9847626095481,122.826433561495,2,0.236129710047343
"60",6,170.083862415196,-57.5287615398655,160.059244811915,2,0.236129710047343
"61",7,319.382440897341,-111.437876289804,299.310446328827,2,0.236129710047343
"62",8,326.453556499121,12.4615845456083,326.215624183663,2,0.236129710047343
"63",9,269.823402723724,96.4211940235559,252.007186406421,2,0.236129710047343
