"","player_position","depth","field_x","field_y","speed","babip"
"1",3,125.210334813716,75,100.262794416288,4000,0.308944429830604
"2",4,149.596454512056,62.3646866279702,135.977001968615,4000,0.308944429830604
"3",5,135.846220077365,-45.9847626095481,127.826433561495,4000,0.308944429830604
"4",6,150.245120911298,7.47123846013449,150.059244811915,4000,0.308944429830604
"5",7,274.959620300227,-91.4378762898036,259.310446328827,4000,0.308944429830604
"6",8,331.299660348913,7.46158454560835,331.215624183663,4000,0.308944429830604
"7",9,311.634772461348,121.421194023556,287.007186406421,4000,0.308944429830604
"8",3,125.210334813716,75,100.262794416288,4100,0.296465265382508
"9",4,149.596454512056,62.3646866279702,135.977001968615,4100,0.296465265382508
"10",5,137.614550803074,-35.9847626095481,132.826433561495,4100,0.296465265382508
"11",6,156.0404228877,17.4712384601345,155.059244811915,4100,0.296465265382508
"12",7,274.959620300227,-91.4378762898036,259.310446328827,4100,0.296465265382508
"13",8,331.224771268468,2.46158454560835,331.215624183663,4100,0.296465265382508
"14",9,311.634772461348,121.421194023556,287.007186406421,4100,0.296465265382508
"15",3,125.210334813716,75,100.262794416288,4200,0.292991278755866
"16",4,149.596454512056,62.3646866279702,135.977001968615,4200,0.292991278755866
"17",5,148.590514132152,-40.9847626095481,142.826433561495,4200,0.292991278755866
"18",6,156.0404228877,17.4712384601345,155.059244811915,4200,0.292991278755866
"19",7,274.959620300227,-91.4378762898036,259.310446328827,4200,0.292991278755866
"20",8,331.299660348913,7.46158454560835,331.215624183663,4200,0.292991278755866
"21",9,311.634772461348,121.421194023556,287.007186406421,4200,0.292991278755866
"22",3,125.210334813716,75,100.262794416288,4300,0.29822123596299
"23",4,149.596454512056,62.3646866279702,135.977001968615,4300,0.29822123596299
"24",5,146.95431877503,-50.9847626095481,137.826433561495,4300,0.29822123596299
"25",6,160.233521005714,7.47123846013449,160.059244811915,4300,0.29822123596299
"26",7,274.959620300227,-91.4378762898036,259.310446328827,4300,0.29822123596299
"27",8,331.299660348913,7.46158454560835,331.215624183663,4300,0.29822123596299
"28",9,311.634772461348,121.421194023556,287.007186406421,4300,0.29822123596299
"29",3,125.210334813716,75,100.262794416288,4400,0.295690085664934
"30",4,149.596454512056,62.3646866279702,135.977001968615,4400,0.295690085664934
"31",5,146.95431877503,-50.9847626095481,137.826433561495,4400,0.295690085664934
"32",6,165.228247288434,7.47123846013449,165.059244811915,4400,0.295690085664934
"33",7,274.959620300227,-91.4378762898036,259.310446328827,4400,0.295690085664934
"34",8,331.299660348913,7.46158454560835,331.215624183663,4400,0.295690085664934
"35",9,311.634772461348,121.421194023556,287.007186406421,4400,0.295690085664934
"36",3,125.210334813716,75,100.262794416288,4500,0.289194818604306
"37",4,150.388082937793,52.3646866279702,140.977001968615,4500,0.289194818604306
"38",5,148.590514132152,-40.9847626095481,142.826433561495,4500,0.289194818604306
"39",6,180.214181035692,7.47123846013449,180.059244811915,4500,0.289194818604306
"40",7,274.959620300227,-91.4378762898036,259.310446328827,4500,0.289194818604306
"41",8,331.299660348913,7.46158454560835,331.215624183663,4500,0.289194818604306
"42",9,311.634772461348,121.421194023556,287.007186406421,4500,0.289194818604306
"43",3,125.210334813716,75,100.262794416288,4600,0.289302099514121
"44",4,150.388082937793,52.3646866279702,140.977001968615,4600,0.289302099514121
"45",5,151.653671707111,-50.9847626095481,142.826433561495,4600,0.289302099514121
"46",6,180.214181035692,7.47123846013449,180.059244811915,4600,0.289302099514121
"47",7,274.959620300227,-91.4378762898036,259.310446328827,4600,0.289302099514121
"48",8,331.299660348913,7.46158454560835,331.215624183663,4600,0.289302099514121
"49",9,311.634772461348,121.421194023556,287.007186406421,4600,0.289302099514121
"50",3,125.210334813716,75,100.262794416288,4700,0.288061550722966
"51",4,150.388082937793,52.3646866279702,140.977001968615,4700,0.288061550722966
"52",5,151.653671707111,-50.9847626095481,142.826433561495,4700,0.288061550722966
"53",6,185.209998365327,7.47123846013449,185.059244811915,4700,0.288061550722966
"54",7,274.959620300227,-91.4378762898036,259.310446328827,4700,0.288061550722966
"55",8,331.299660348913,7.46158454560835,331.215624183663,4700,0.288061550722966
"56",9,311.634772461348,121.421194023556,287.007186406421,4700,0.288061550722966
"57",3,125.210334813716,75,100.262794416288,4800,0.28791621747274
"58",4,150.388082937793,52.3646866279702,140.977001968615,4800,0.28791621747274
"59",5,162.758140931793,-55.9847626095481,152.826433561495,4800,0.28791621747274
"60",6,190.206035505195,7.47123846013449,190.059244811915,4800,0.28791621747274
"61",7,279.67999080902,-91.4378762898036,264.310446328827,4800,0.28791621747274
"62",8,331.299660348913,7.46158454560835,331.215624183663,4800,0.28791621747274
"63",9,311.634772461348,121.421194023556,287.007186406421,4800,0.28791621747274
"64",3,125.210334813716,75,100.262794416288,4900,0.286934127885224
"65",4,150.388082937793,52.3646866279702,140.977001968615,4900,0.286934127885224
"66",5,162.758140931793,-55.9847626095481,152.826433561495,4900,0.286934127885224
"67",6,195.202275577727,7.47123846013449,195.059244811915,4900,0.286934127885224
"68",7,279.67999080902,-91.4378762898036,264.310446328827,4900,0.286934127885224
"69",8,331.299660348913,7.46158454560835,331.215624183663,4900,0.286934127885224
"70",9,311.634772461348,121.421194023556,287.007186406421,4900,0.286934127885224
