"","player_position","depth","field_x","field_y","la","babip"
"1",3,125.210334813716,75,100.262794416288,-2.77806138138877,0.289534585934911
"2",4,149.596454512056,62.3646866279702,135.977001968615,-2.77806138138877,0.289534585934911
"3",5,148.590514132152,-40.9847626095481,142.826433561495,-2.77806138138877,0.289534585934911
"4",6,151.072900041182,17.4712384601345,150.059244811915,-2.77806138138877,0.289534585934911
"5",7,238.636342636303,-81.4378762898036,224.310446328827,-2.77806138138877,0.289534585934911
"6",8,291.226027626577,2.46158454560835,291.215624183663,-2.77806138138877,0.289534585934911
"7",9,267.018367783155,101.421194023556,247.007186406421,-2.77806138138877,0.289534585934911
"8",3,125.210334813716,75,100.262794416288,-0.643431882958385,0.293329103091296
"9",4,149.596454512056,62.3646866279702,135.977001968615,-0.643431882958385,0.293329103091296
"10",5,148.590514132152,-40.9847626095481,142.826433561495,-0.643431882958385,0.293329103091296
"11",6,151.072900041182,17.4712384601345,150.059244811915,-0.643431882958385,0.293329103091296
"12",7,246.463251196826,-76.4378762898036,234.310446328827,-0.643431882958385,0.293329103091296
"13",8,301.308027600138,7.46158454560835,301.215624183663,-0.643431882958385,0.293329103091296
"14",9,273.556379084605,106.421194023556,252.007186406421,-0.643431882958385,0.293329103091296
"15",3,125.210334813716,75,100.262794416288,6.29129864512258,0.30173361402553
"16",4,150.388082937793,52.3646866279702,140.977001968615,6.29129864512258,0.30173361402553
"17",5,148.590514132152,-40.9847626095481,142.826433561495,6.29129864512258,0.30173361402553
"18",6,180.214181035692,7.47123846013449,180.059244811915,6.29129864512258,0.30173361402553
"19",7,258.011150350891,-96.4378762898036,239.310446328827,6.29129864512258,0.30173361402553
"20",8,311.468098845025,-12.5384154543917,311.215624183663,6.29129864512258,0.30173361402553
"21",9,310.795217869249,106.421194023556,292.007186406421,6.29129864512258,0.30173361402553
"22",3,122.280938596998,70,100.262794416288,8.82387958882645,0.299432109431846
"23",4,149.596454512056,62.3646866279702,135.977001968615,8.82387958882645,0.299432109431846
"24",5,151.653671707111,-50.9847626095481,142.826433561495,8.82387958882645,0.299432109431846
"25",6,170.223283219796,7.47123846013449,170.059244811915,8.82387958882645,0.299432109431846
"26",7,270.249307737054,-91.4378762898036,254.310446328827,8.82387958882645,0.299432109431846
"27",8,326.224911464487,2.46158454560835,326.215624183663,8.82387958882645,0.299432109431846
"28",9,305.0933424425,116.421194023556,282.007186406421,8.82387958882645,0.299432109431846
"29",3,116.844460477007,60,100.262794416288,14.1393186541518,0.27553782343293
"30",4,150.388082937793,52.3646866279702,140.977001968615,14.1393186541518,0.27553782343293
"31",5,151.653671707111,-50.9847626095481,142.826433561495,14.1393186541518,0.27553782343293
"32",6,175.218602317922,7.47123846013449,175.059244811915,14.1393186541518,0.27553782343293
"33",7,279.67999080902,-91.4378762898036,264.310446328827,14.1393186541518,0.27553782343293
"34",8,336.298410922713,7.46158454560835,336.215624183663,14.1393186541518,0.27553782343293
"35",9,311.634772461348,121.421194023556,287.007186406421,14.1393186541518,0.27553782343293
"36",3,116.844460477007,60,100.262794416288,19.4412962475586,0.245179630960946
"37",4,181.995849788891,62.3646866279702,170.977001968615,19.4412962475586,0.245179630960946
"38",5,148.590514132152,-40.9847626095481,142.826433561495,19.4412962475586,0.245179630960946
"39",6,170.954353320791,17.4712384601345,170.059244811915,19.4412962475586,0.245179630960946
"40",7,284.936893974135,-106.437876289804,264.310446328827,19.4412962475586,0.245179630960946
"41",8,331.452864771872,-12.5384154543917,331.215624183663,19.4412962475586,0.245179630960946
"42",9,329.657329520596,106.421194023556,312.007186406421,19.4412962475586,0.245179630960946
"43",3,114.357456880445,55,100.262794416288,24.7361876312193,0.211924719377645
"44",4,181.995849788891,62.3646866279702,170.977001968615,24.7361876312193,0.211924719377645
"45",5,153.402754948117,-40.9847626095481,147.826433561495,24.7361876312193,0.211924719377645
"46",6,181.456022771826,22.4712384601345,180.059244811915,24.7361876312193,0.211924719377645
"47",7,289.58096969745,-106.437876289804,269.310446328827,24.7361876312193,0.211924719377645
"48",8,336.300124372224,-7.53841545439165,336.215624183663,24.7361876312193,0.211924719377645
"49",9,329.657329520596,106.421194023556,312.007186406421,24.7361876312193,0.211924719377645
"50",3,114.357456880445,55,100.262794416288,27.2566653184554,0.195062706471337
"51",4,181.995849788891,62.3646866279702,170.977001968615,27.2566653184554,0.195062706471337
"52",5,153.402754948117,-40.9847626095481,147.826433561495,27.2566653184554,0.195062706471337
"53",6,181.456022771826,22.4712384601345,180.059244811915,27.2566653184554,0.195062706471337
"54",7,289.58096969745,-106.437876289804,269.310446328827,27.2566653184554,0.195062706471337
"55",8,346.296020295953,7.46158454560835,346.215624183663,27.2566653184554,0.195062706471337
"56",9,321.905301476626,111.421194023556,302.007186406421,27.2566653184554,0.195062706471337
